,proprty_type,seller,Location,Area in sqft,Rate/sq_ft,price,status,possession,Approved by RERA
1408,"2 BHK Apartment in VRG Silver SpringsPendurthi, Visakhapatnam",venkatesh gujjala,"Pendurthi, Visakhapatnam",1050 ,"4,761 / sq ft", 50 L,Ready to move,1 - 2 years old2 Bathrooms1st of 6floor,No
1409,"3 BHK Apartment in Sreenivasam gajuwakaGajuwaka, Visakhapatnam",madhu,"Gajuwaka, Visakhapatnam",1500 ,"3,866 / sq ft", 58 L,Ready to move,1 - 2 years old2 Bathrooms2nd of 5floor,No
1410,"Residential Plot in Legend KanakMamidilova, Visakhapatnam",property advisor,"Mamidilova, Visakhapatnam",1805 ,"2,105 / sq ft", 38 L,New,1 open sides 1 L booking amountEast facing,No
1411,"Residential Plot in Building True ResidencyAnandapuram, Visakhapatnam",property advisor,"Anandapuram, Visakhapatnam",1800 ,"1,333 / sq ft", 24 L,New,1 open sides 1 L booking amountEast facing,No
1412,"3 BHK Apartment in The AdreesMadhurawada, Visakhapatnam",Fortune Properties,"Madhurawada, Visakhapatnam",1585 ,"4,500 / sq ft", 71.32 L,Ready to move,1 - 2 years old2 Bathrooms1st of 6floor,No
1413,"Residential Plot in Building Kohinoor HillsKothavalasa, Visakhapatnam",bhushan,"Kothavalasa, Visakhapatnam",3150 ,"1,111 / sq ft", 35 L,New,1 open sides 1 L booking amountEast facing,No
1414,"Residential Plot in Building Kohinoor HillsKothavalasa, Visakhapatnam",bhushan,"Kothavalasa, Visakhapatnam",1800 ,"1,111 / sq ft", 20 L,New,1 open sides 1 L booking amountWest facing,No
1415,"Residential Plot in royal avenueTagarapuvalasa, Visakhapatnam",bhushan,"Tagarapuvalasa, Visakhapatnam",3150 ,"1,500 / sq ft", 47.25 L,New,1 open sides 1 L booking amountNorth facing,No
1416,"Residential Plot in Sri Hari The Golden CityGidijala, Visakhapatnam",bhushan,"Gidijala, Visakhapatnam",1494 ,"1,944 / sq ft", 29.05 L,New,1 open sides 1 L booking amountSouth facing,No
1417,"2 BHK Apartment in Honeyy sreenivasam 1Achutapuram, Visakhapatnam",yelamajinolli,"Achutapuram, Visakhapatnam",1075 ,"1,674 / sq ft", 18 L,Under Construction,Possession by Feb 20232 Bathrooms3rd of 5floor,No
1418,"Residential Plot in royal city kothavalasaKothavalasa, Visakhapatnam",property advisor,"Kothavalasa, Visakhapatnam",1700 ,941 / sq ft, 16 L,New,Possession by Dec 18992 open sides 1 L booking amount,No
1419,"2 BHK Apartment in Honeyy Sreenivasam 1Achutapuram, Visakhapatnam",Pooja Sharmarao,"Achutapuram, Visakhapatnam",975 ,"3,589 / sq ft", 35 L,Ready to move,1 - 2 years old2 Bathrooms2nd of 5floor,No
1420,"2 BHK Apartment in Dinesh residencyPMPalem, Visakhapatnam",smart homes,"PMPalem, Visakhapatnam",1035 ,"4,393 / sq ft", 45.47 L,Under Construction,Possession by Jan 20232 Bathrooms4th of 5floor,No
1421,"2 BHK Apartment in Honeyy sreenivasam 7Lankelapalem, Visakhapatnam",sai praveen,"Lankelapalem, Visakhapatnam",1000 ,"3,600 / sq ft", 36 L,Under Construction,Possession by Oct 20242 Bathrooms1st of 2floor,No
1422,"2 BHK Apartment in Honeyy sreenivasam 25Lankelapalem, Visakhapatnam",sai praveen,"Lankelapalem, Visakhapatnam",1015 ,"2,857 / sq ft", 29 L,Under Construction,Possession by Sep 20232 Bathrooms1st of 5floor,No
1423,"2 BHK Apartment in Honeyy Sreenivasam 1Achutapuram, Visakhapatnam",sai praveen,"Achutapuram, Visakhapatnam",1000 ,"3,300 / sq ft", 33 L,Under Construction,Possession by Aug 20252 Bathrooms1st of 5floor,Yes
1424,"2 BHK Apartment in  HeightsPothinamallayya Palem, Visakhapatnam",devudu babu,"Pothinamallayya Palem, Visakhapatnam",1060 ,"4,905 / sq ft", 52 L,Under Construction,Possession by Jan 20232 Bathrooms3rd of 5floor,Yes
1425,"3 BHK Villa in Lohitha VillasDuvvada, Visakhapatnam",Royals,"Duvvada, Visakhapatnam",1857 ,"4,577 / sq ft", 85 L,Under Construction,Possession by Nov 20223 BathroomsNew ,No
1426,"2 BHK Independent House in Lohitha VillasDuvvada, Visakhapatnam",Royals,"Duvvada, Visakhapatnam",1211 ,"4,954 / sq ft", 60 L,Under Construction,Possession by Nov 20222 BathroomsNew ,No
1427,"3 BHK Villa in Baskar avenueLankelapalem, Visakhapatnam",Royals,"Lankelapalem, Visakhapatnam",920 ,"3,804 / sq ft", 35 L,Under Construction,Possession by Nov 20223 BathroomsNew ,No
1428,"2 BHK Independent House in Baskar avenueLankelapalem, Visakhapatnam",Royals,"Lankelapalem, Visakhapatnam",1260 ,"3,809 / sq ft", 48 L,Ready to move,1 - 2 years old2 BathroomsNew ,No
1429,"3 BHK Apartment in Jayam heightsKurmannapalem, Visakhapatnam",Royals,"Kurmannapalem, Visakhapatnam",1455 ,"3,700 / sq ft", 53.83 L,Under Construction,Possession by Nov 20223 Bathrooms3rd of 5floor,No
1430,"2 BHK Apartment in Jayam heightsKurmannapalem, Visakhapatnam",Royals,"Kurmannapalem, Visakhapatnam",1060 ,"3,700 / sq ft", 39.22 L,Under Construction,Possession by Nov 20222 Bathrooms2nd of 5floor,No
1431,"2 BHK Villa in Baskars AvenueLankelapalem, Visakhapatnam",Royal,"Lankelapalem, Visakhapatnam",1000 ,"4,200 / sq ft", 42 L,Under Construction,Possession by Nov 20222 BathroomsNew ,No
1432,"2 BHK Independent House in Baskar avenueLankelapalem, Visakhapatnam",Royal,"Lankelapalem, Visakhapatnam",1260 ,"3,809 / sq ft", 48 L,Ready to move,1 - 2 years old2 BathroomsNew ,No
1433,"3 BHK Villa in Lohitha VillasDuvvada, Visakhapatnam",Royal,"Duvvada, Visakhapatnam",1857 ,"4,577 / sq ft", 85 L,Under Construction,Possession by Nov 20223 BathroomsNew ,No
1434,"2 BHK Independent House in Lohitha VillasDuvvada, Visakhapatnam",Royal,"Duvvada, Visakhapatnam",1211 ,"4,954 / sq ft", 60 L,Under Construction,Possession by Nov 20222 BathroomsNew ,No
1435,"2 BHK Apartment in Jayam heightsKurmannapalem, Visakhapatnam",Royal,"Kurmannapalem, Visakhapatnam",1060 ,"3,773 / sq ft", 40 L,Under Construction,Possession by Nov 20222 Bathrooms2nd of 5floor,No
1436,"3 BHK Villa in Baskars AvenueLankelapalem, Visakhapatnam",Royal,"Lankelapalem, Visakhapatnam",920 ,"3,804 / sq ft", 35 L,Under Construction,Possession by Nov 20223 BathroomsNew ,No
1437,"3 BHK Apartment in Jayam heightsKurmannapalem, Visakhapatnam",Royal,"Kurmannapalem, Visakhapatnam",1455 ,"3,700 / sq ft", 53.83 L,Under Construction,Possession by Dec 20223 Bathrooms2nd of 5floor,No
1438,"3 BHK Apartment in Coastal Aspen ClassicGajuwaka, Visakhapatnam",Santhosh kumar,"Gajuwaka, Visakhapatnam",1270 ,"3,779 / sq ft", 48 L,Ready to move,2 - 3 years old3 Bathrooms1st of 5floor,No
1439,"3 BHK Apartment in Sri nagarSri Nagar, Visakhapatnam",Santhosh kumar,"Sri Nagar, Visakhapatnam",1500 ,"3,666 / sq ft", 55 L,Ready to move,1 - 2 years old2 Bathrooms2nd of 5floor,No
1440,"2 BHK Apartment in Honeyy Sreenivasam 1Achutapuram, Visakhapatnam",Santhosh kumar,"Achutapuram, Visakhapatnam",865 ,"2,774 / sq ft", 24 L,Under Construction,Possession by Jun 20242 Bathrooms2nd of 5floor,Yes
1441,"2 BHK Independent House in Baskar avenueLankelapalem, Visakhapatnam",Shiva,"Lankelapalem, Visakhapatnam",1260 ,"3,809 / sq ft", 48 L,Ready to move,1 - 2 years old2 BathroomsNew ,No
1442,"3 BHK Villa in Lohitha VillasDuvvada, Visakhapatnam",Shiva,"Duvvada, Visakhapatnam",1857 ,"4,577 / sq ft", 85 L,Under Construction,Possession by Nov 20222 BathroomsNew ,No
1443,"2 BHK Independent House in Lohitha VillasDuvvada, Visakhapatnam",Shiva,"Duvvada, Visakhapatnam",1211 ,"4,954 / sq ft", 60 L,Under Construction,Possession by Nov 20222 BathroomsNew ,No
1444,"Residential Plot in goldenwavesBhogapuram, Visakhapatnam",property advisor,"Bhogapuram, Visakhapatnam",1803 ,998 / sq ft, 18 L,New,1 open sides 2 L booking amountNorthEast facing,No
1445,"Residential Plot in CoralsbayBhogapuram, Visakhapatnam",property advisor,"Bhogapuram, Visakhapatnam",1802 ,832 / sq ft, 15 L,New,1 open sides 1 L booking amountWest facing,No
1446,"2 BHK Apartment in Panchireddy Dasu Sai Satya ResidencyAganampudi, Visakhapatnam",lovaraju mamidi,"Aganampudi, Visakhapatnam",1090 ,"3,348 / sq ft", 36.5 L,Ready to move,2 Bathrooms3rd of 5floorNew ,No
1447,"2 BHK Apartment in PR prime dpKurmannapalem, Visakhapatnam",Nolli Deepthi,"Kurmannapalem, Visakhapatnam",1025 ,"3,707 / sq ft", 38 L,Under Construction,Possession by Nov 20222 Bathrooms3rd of 5floor,No
1448,"4 BHK Apartment in Kavya Vijaya ValenciaGajuwaka, Visakhapatnam",Aditi Estaste,"Gajuwaka, Visakhapatnam",1725 ,"5,585 / sq ft", 96.35 L,Under Construction,Possession by Jan 20224 Bathrooms7th of 16floor,Yes
1449,"3 BHK Apartment in Sree sai durgaPM Palem Main, Visakhapatnam",smart homes,"PM Palem Main, Visakhapatnam",1440 ,"4,738 / sq ft", 68.24 L,Ready to move,1 - 2 years old3 Bathrooms1st of 5floor,No
1450,"2 BHK Independent House in Lohitha VillasDuvvada, Visakhapatnam",Shivaan,"Duvvada, Visakhapatnam",1211 ,"4,954 / sq ft", 60 L,Under Construction,Possession by Nov 20222 BathroomsNew ,No
1451,"2 BHK Independent House in Bsakar AvenueLankelapalem, Visakhapatnam",Shivaan,"Lankelapalem, Visakhapatnam",1260 ,"3,809 / sq ft", 48 L,Ready to move,1 - 2 years old2 BathroomsNew ,No
1452,"3 BHK Villa in Lohitha VillasDuvvada, Visakhapatnam",Shivaan,"Duvvada, Visakhapatnam",1857 ,"4,577 / sq ft", 85 L,Under Construction,Possession by Nov 20223 BathroomsNew ,No
1453,"2 BHK Independent House in Baskar avenueLankelapalem, Visakhapatnam",Shivaan,"Lankelapalem, Visakhapatnam",1260 ,"3,809 / sq ft", 48 L,Ready to move,1 - 2 years old2 BathroomsNew ,No
1454,"3 BHK Villa in Lohitha VillasDuvvada, Visakhapatnam",Shivaan,"Duvvada, Visakhapatnam",1857 ,"4,577 / sq ft", 85 L,Under Construction,Possession by Nov 20222 BathroomsNew ,No
1455,"2 BHK Independent House in Lohitha VillasDuvvada, Visakhapatnam",Shivaan,"Duvvada, Visakhapatnam",1211 ,"4,954 / sq ft", 60 L,Under Construction,Possession by Nov 20222 BathroomsNew ,No
1456,"2 BHK Independent House in Lohitha VillasDuvvada, Visakhapatnam",Sainadh,"Duvvada, Visakhapatnam",1211 ,"4,954 / sq ft", 60 L,Under Construction,Possession by Nov 20222 BathroomsNew ,No
1457,"2 BHK Apartment in Jayam heightsKurmannapalem, Visakhapatnam",Shivaan,"Kurmannapalem, Visakhapatnam",1060 ,"3,700 / sq ft", 39.22 L,Under Construction,Possession by Nov 20222 Bathrooms2nd of 4floor,No
1458,"2 BHK Independent House in BaskarsLankelapalem, Visakhapatnam",Sainadh,"Lankelapalem, Visakhapatnam",1000 ,"4,200 / sq ft", 42 L,Under Construction,Possession by Nov 20222 BathroomsNew ,No
1459,"3 BHK Villa in BaskarsLankelapalem, Visakhapatnam",Sainadh,"Lankelapalem, Visakhapatnam",920 ,"3,804 / sq ft", 35 L,Under Construction,Possession by Nov 20223 BathroomsNew ,No
1460,"3 BHK Villa in BaskarsLankelapalem, Visakhapatnam",Sainadh,"Lankelapalem, Visakhapatnam",920 ,"3,804 / sq ft", 35 L,Under Construction,Possession by Nov 20223 BathroomsNew ,No
1461,"2 BHK Independent House in BaskarsLankelapalem, Visakhapatnam",Sainadh,"Lankelapalem, Visakhapatnam",1260 ,"3,809 / sq ft", 48 L,Ready to move,1 - 2 years old2 BathroomsNew ,No
1462,"2 BHK Independent House in Lohitha VillasDuvvada, Visakhapatnam",Sainadh,"Duvvada, Visakhapatnam",1211 ,"4,954 / sq ft", 60 L,Under Construction,Possession by Nov 20222 BathroomsNew ,No
1463,"3 BHK Villa in Lohitha VillasDuvvada, Visakhapatnam",Sainadh,"Duvvada, Visakhapatnam",1857 ,"4,577 / sq ft", 85 L,Under Construction,Possession by Nov 20223 BathroomsNew ,No
1464,"3 BHK Apartment in Sai Sampath VvSheela Nagar, Visakhapatnam",Sainadh,"Sheela Nagar, Visakhapatnam",1400 ,"4,500 / sq ft", 63 L,Under Construction,Possession by Nov 20223 Bathrooms2nd of 4floor,No
1465,"2 BHK Apartment in Murari EnclaveGajuwaka, Visakhapatnam",Sainadh,"Gajuwaka, Visakhapatnam",1150 ,"5,300 / sq ft", 60.95 L,Under Construction,Possession by Nov 20222 Bathrooms2nd of 5floor,No
1466,"Residential Plot in Peram Aditya Varna Phase INH 5, Visakhapatnam",property advisor,"NH 5, Visakhapatnam",1200 ,"2,083 / sq ft", 25 L,New,1 open sides 1 L booking amountWest facing,No
1467,"Residential Plot in Peram Aditya GrandTagarapuvalasa, Visakhapatnam",property advisor,"Tagarapuvalasa, Visakhapatnam",1800 ,"1,277 / sq ft", 23 L,New,1 open sides 2 L booking amountEast facing,No
1468,"Residential Plot in Peram Aditya White FieldTagarapuvalasa, Visakhapatnam",property advisor,"Tagarapuvalasa, Visakhapatnam",1503 ,"2,328 / sq ft", 35 L,New,1 open sides 2 L booking amountEast facing,No
1469,"3 BHK Apartment in VGSS SAI FLATSNarasimha Nagar, Visakhapatnam",jessica,"Narasimha Nagar, Visakhapatnam",1490 ,"8,053 / sq ft", 1.2 Cr,Under Construction,Possession by Feb 20233 Bathrooms5th of 5floor,No
1470,"2 BHK Apartment in Muralinagar new projctMurali Nagar, Visakhapatnam",jessica,"Murali Nagar, Visakhapatnam",1100 ,"6,000 / sq ft", 66 L,Under Construction,Possession by Aug 20222 Bathrooms5th of 5floor,No
1471,"3 BHK Apartment in srinivasa constructions seethammadharaSeethammadhara, Visakhapatnam",jessica,"Seethammadhara, Visakhapatnam",1700 ,"7,500 / sq ft", 1.27 Cr,Under Construction,Possession by Nov 20223 Bathrooms3rd of 5floor,No
1472,"3 BHK Apartment in Dasapalla hills visakhapatnamDaspalla Hills, Visakhapatnam",jessica,"Daspalla Hills, Visakhapatnam",1310 ,"7,633 / sq ft", 1 Cr,Under Construction,Possession by Jan 20232 Bathrooms3rd of 5floor,No
1473,"Residential Plot in Legend KanakMamidilova, Visakhapatnam",property advisor,"Mamidilova, Visakhapatnam",1800 ,"2,000 / sq ft", 36 L,New,1 open sides 2 L booking amountNorth facing,No
1474,"Residential Plot in Peram Aditya RoyalDakamarri Village Road, Visakhapatnam",property advisor,"Dakamarri Village Road, Visakhapatnam",1800 ,"1,166 / sq ft", 21 L,New,1 open sides 2 L booking amountEast facing,No
1475,"Residential Plot in Peram Aditya MajesticTarluvada, Visakhapatnam",property advisor,"Tarluvada, Visakhapatnam",1800 ,"2,000 / sq ft", 36 L,New,1 open sides 2 L booking amountWest facing,No
1476,"Residential Plot in Peram Aditya Varna Phase IINH 5, Visakhapatnam",property advisor,"NH 5, Visakhapatnam",1502 ,"2,197 / sq ft", 33 L,New,1 open sides 1 L booking amountWest facing,No
1477,"Residential Plot in golden beachBhogapuram, Visakhapatnam",property advisor,"Bhogapuram, Visakhapatnam",1502 ,998 / sq ft, 15 L,New,2 open sides 1 L booking amountNorthEast facing,No
1478,"2 BHK Apartment in Heritage orientPMPalem, Visakhapatnam",smart homes,"PMPalem, Visakhapatnam",1100 ,"4,681 / sq ft", 51.5 L,Ready to move,1 - 2 years old2 Bathrooms4th of 5floor,No
1479,"3 BHK Apartment in Sky mansionPMPalem, Visakhapatnam",smart homes,"PMPalem, Visakhapatnam",2000 ,"4,700 / sq ft", 94 L,Under Construction,Possession by Aug 20223 Bathrooms3rd of 5floor,No
1480,"8 BHK Independent HouseKurmannapalem, Visakhapatnam",Kishore,"Kurmannapalem, Visakhapatnam",3000 ,"7,333 / sq ft", 2.2 Cr,Ready to move,1 - 2 years old8 BathroomsNew ,No
1481,"3 BHK Apartment in Sisir MidhilapuriMadhurawada, Visakhapatnam",devudu babu,"Madhurawada, Visakhapatnam",2269 ,"5,532 / sq ft", 1.25 Cr,Under Construction,Possession by Mar 20233 Bathrooms3rd of 5floor,Yes
1482,"2 BHK Apartment in A K Ashrayam HeightsMadhurawada, Visakhapatnam",devudu babu,"Madhurawada, Visakhapatnam",1050 ,"4,000 / sq ft", 42 L,Under Construction,Possession by May 20232 Bathrooms5th of 5floor,Yes
1483,"3 BHK Apartment in Aarthi Abhilan GardeniaYendada, Visakhapatnam",devudu babu,"Yendada, Visakhapatnam",1900 ,"5,315 / sq ft", 1.01 Cr,Under Construction,Possession by Jul 20243 Bathrooms5th of 5floor,Yes
1484,"2 BHK Apartment in Flora Beau FortMadhurawada, Visakhapatnam",devudu babu,"Madhurawada, Visakhapatnam",900 ,"4,000 / sq ft", 36 L,Under Construction,Possession by Aug 20222 Bathrooms2nd of 3floor,Yes
1485,"3 BHK Apartment in Sai Chaitanya Satya NilayamYendada, Visakhapatnam",devudu babu,"Yendada, Visakhapatnam",1850 ,"5,135 / sq ft", 95 L,Ready to move,1 - 2 years old3 Bathrooms1st of 5floor,No
1486,"3 BHK Apartment in Flora Beau FortMadhurawada, Visakhapatnam",devudu babu,"Madhurawada, Visakhapatnam",1800 ,"4,277 / sq ft", 77 L,Ready to move,1 - 2 years old3 Bathrooms3rd of 5floor,No
1487,"2 BHK Apartment in Murari EnclaveGajuwaka, Visakhapatnam",Sainadh,"Gajuwaka, Visakhapatnam",1150 ,"5,300 / sq ft", 60.95 L,Under Construction,Possession by Nov 20222 Bathrooms2nd of 5floor,No
1488,"2 BHK Independent House in BaskarsLankelapalem, Visakhapatnam",Sainadh,"Lankelapalem, Visakhapatnam",1000 ,"4,200 / sq ft", 42 L,Under Construction,Possession by Nov 20222 BathroomsNew ,No
1489,"3 BHK Villa in Baskars AvenueLankelapalem, Visakhapatnam",Sainadh,"Lankelapalem, Visakhapatnam",920 ,"3,804 / sq ft", 35 L,Under Construction,Possession by Nov 20223 BathroomsNew ,No
1490,"2 BHK Independent House in Baskar avenueLankelapalem, Visakhapatnam",Sainadh,"Lankelapalem, Visakhapatnam",1260 ,"3,809 / sq ft", 48 L,Ready to move,1 - 2 years old2 BathroomsNew ,No
1491,"3 BHK Villa in Lohitha VillasDuvvada, Visakhapatnam",Sainadh,"Duvvada, Visakhapatnam",1857 ,"4,577 / sq ft", 85 L,Under Construction,Possession by Dec 20223 BathroomsNew ,No
1492,"2 BHK Independent House in Lohitha HouseDuvvada, Visakhapatnam",Sainadh,"Duvvada, Visakhapatnam",1211 ,"4,954 / sq ft", 60 L,Under Construction,Possession by Nov 20222 BathroomsNew ,No
1493,"2 BHK Independent House in Lohitha VillasDuvvada, Visakhapatnam",Royal,"Duvvada, Visakhapatnam",1211 ,"4,954 / sq ft", 60 L,Under Construction,Possession by Nov 20222 BathroomsNew ,No
1494,"3 BHK Apartment in Jayam heightsKurmannapalem, Visakhapatnam",Sainadh,"Kurmannapalem, Visakhapatnam",1455 ,"3,700 / sq ft", 53.83 L,Under Construction,Possession by Nov 20223 Bathrooms2nd of 5floor,No
1495,"2 BHK Apartment in Jayam heightsKurmannapalem, Visakhapatnam",Sainadh,"Kurmannapalem, Visakhapatnam",1060 ,"3,773 / sq ft", 40 L,Under Construction,Possession by Nov 20222 Bathrooms2nd of 5floor,No
1496,"3 BHK Apartment in Sai Sampath VvSheela Nagar, Visakhapatnam",Sainadh,"Sheela Nagar, Visakhapatnam",1400 ,"4,500 / sq ft", 63 L,Under Construction,Possession by Nov 20223 Bathrooms2nd of 4floor,No
1497,"3 BHK Apartment in Jayam heightsKurmannapalem, Visakhapatnam",Royal,"Kurmannapalem, Visakhapatnam",1455 ,"3,700 / sq ft", 53.83 L,Under Construction,Possession by Nov 20223 Bathrooms2nd of 5floor,No
1498,"2 BHK Apartment in Jayam heightsKurmannapalem, Visakhapatnam",Royal,"Kurmannapalem, Visakhapatnam",1060 ,"3,700 / sq ft", 39.22 L,Under Construction,Possession by Nov 20222 Bathrooms3rd of 5floor,No
1499,"3 BHK Villa in Baskar avenueLankelapalem, Visakhapatnam",Royal,"Lankelapalem, Visakhapatnam",920 ,"3,804 / sq ft", 35 L,Under Construction,Possession by Nov 20223 BathroomsNew ,No
1500,"2 BHK Independent House in Baskar avenueLankelapalem, Visakhapatnam",Royal,"Lankelapalem, Visakhapatnam",1260 ,"3,809 / sq ft", 48 L,Ready to move,1 - 2 years old2 BathroomsNew ,No
1501,"3 BHK Villa in Lohitha VillasDuvvada, Visakhapatnam",Royal,"Duvvada, Visakhapatnam",1857 ,"4,577 / sq ft", 85 L,Under Construction,Possession by Nov 20223 BathroomsNew ,No
1502,"2 BHK Independent House in Lohitha VillasDuvvada, Visakhapatnam",Royal,"Duvvada, Visakhapatnam",1211 ,"4,954 / sq ft", 60 L,Under Construction,Possession by Nov 20222 BathroomsNew ,No
1503,"Residential Plot in Sri Hari The Golden CityGidijala, Visakhapatnam",property advisor,"Gidijala, Visakhapatnam",1806 ,"1,882 / sq ft", 34 L,New,1 open sides 2 L booking amountSouth facing,No
1504,"Residential Plot in smartcity layoutTagarapuvalasa, Visakhapatnam",property advisor,"Tagarapuvalasa, Visakhapatnam",1806 ,"1,439 / sq ft", 26 L,New,1 open sides 2 L booking amountNorth facing,No
1505,"Residential Plot in harmony phase3Tagarapuvalasa, Visakhapatnam",property advisor,"Tagarapuvalasa, Visakhapatnam",1806 ,"1,937 / sq ft", 35 L,New,1 open sides 2 L booking amountNorth facing,No
1506,"Residential Plot in Sivashakthi Highway City Phase 5Gidijala, Visakhapatnam",property advisor,"Gidijala, Visakhapatnam",1806 ,"1,882 / sq ft", 34 L,New,1 open sides 2 L booking amountNorth facing,No
1507,"Residential Plot in Sri Vaibhava Bay Front Pearl and JewelEndada, Visakhapatnam",Soniya Estate,"Endada, Visakhapatnam",1320 ,949 / sq ft, 12.53 L,Resale,"2 open sides 51,000 booking amountFreehold ownership",No
1508,"Residential Plot in  JewelRushikonda, Visakhapatnam",Soniya Estate,"Rushikonda, Visakhapatnam",1340 ,927 / sq ft, 12.43 L,Resale,"2 open sides 51,000 booking amountFreehold ownership",No
